initCGM,state_C1,state_C2,state_Gp,state_Gc,state_Ge,state_Ie,state_I
64,1.3624999523162842,-0.13443510234355927,-1.169034481048584,-0.9458929300308228,-0.8488023281097412,-0.37481215596199036,-0.4328867197036743
65,1.3624999523162842,-0.13415957987308502,-1.1592767238616943,-0.9374736547470093,-0.8420202732086182,-0.3759138584136963,-0.43419426679611206
66,1.3624999523162842,-0.13466966152191162,-1.1495205163955688,-0.9290543794631958,-0.8352386951446533,-0.3770139515399933,-0.4355054199695587
67,1.3624999523162842,-0.13439081609249115,-1.1397638320922852,-0.9206351041793823,-0.8284565210342407,-0.3781137764453888,-0.43682098388671875
68,1.3624999523162842,-0.13411512970924377,-1.1300069093704224,-0.9122158288955688,-0.8216734528541565,-0.3792102038860321,-0.4381396472454071
69,1.3624999523162842,-0.13462427258491516,-1.1202504634857178,-0.9037966132164001,-0.8148912787437439,-0.3803092837333679,-0.4394596815109253
70,1.3624999523162842,-0.1343495100736618,-1.110493779182434,-0.8953773379325867,-0.808108389377594,-0.38140642642974854,-0.4407840073108673
71,1.3624999523162842,-0.1340714395046234,-1.100737452507019,-0.8869580626487732,-0.8013255596160889,-0.3825053572654724,-0.4421098530292511
72,1.3624999523162842,-0.13458140194416046,-1.0909781455993652,-0.8785387873649597,-0.7945425510406494,-0.38360151648521423,-0.4434392750263214
73,1.3624999523162842,-0.13430869579315186,-1.0812207460403442,-0.870119571685791,-0.7877607941627502,-0.38469886779785156,-0.44476839900016785
74,1.3624999523162842,-0.13481512665748596,-1.0714619159698486,-0.8617002964019775,-0.7809772491455078,-0.38579386472702026,-0.4460999667644501
75,1.3624999523162842,-0.13453903794288635,-1.0617048740386963,-0.8532810211181641,-0.7741941809654236,-0.38689106702804565,-0.44743552803993225
76,1.3624999523162842,-0.1342616081237793,-1.0519471168518066,-0.8448617458343506,-0.7674097418785095,-0.3879867196083069,-0.4487708806991577
77,1.3624999523162842,-0.13477088510990143,-1.0421894788742065,-0.8364424705505371,-0.7606267929077148,-0.38908374309539795,-0.45010805130004883
78,1.3624999523162842,-0.13449382781982422,-1.0324327945709229,-0.8280232548713684,-0.7538429498672485,-0.39017754793167114,-0.4514453411102295
79,1.3624999523162842,-0.13421973586082458,-1.0226761102676392,-0.8196039795875549,-0.74705970287323,-0.3912753164768219,-0.4527857005596161
80,1.3624999523162842,-0.13472948968410492,-1.0129200220108032,-0.8111847043037415,-0.7402772307395935,-0.39236798882484436,-0.4541233777999878
81,1.3624999523162842,-0.13445459306240082,-1.0031641721725464,-0.802765429019928,-0.7334935665130615,-0.393464058637619,-0.45546454191207886
82,1.3624999523162842,-0.1341785043478012,-0.993405282497406,-0.7943462133407593,-0.7267091274261475,-0.3945590853691101,-0.45680683851242065
83,1.3624999523162842,-0.1346878707408905,-0.9836480021476746,-0.7859269380569458,-0.7199262380599976,-0.39565300941467285,-0.4581506848335266
84,1.3624999523162842,-0.13441184163093567,-0.9738909602165222,-0.7775076627731323,-0.7131421566009521,-0.3967486321926117,-0.45949554443359375
85,1.3624999523162842,-0.1341327428817749,-0.9641334414482117,-0.7690883874893188,-0.7063580751419067,-0.3978407382965088,-0.46083784103393555
86,1.3624999523162842,-0.13464537262916565,-0.9543762803077698,-0.7606691122055054,-0.6995733380317688,-0.3989385664463043,-0.4621860682964325
87,1.3624999523162842,-0.1343669891357422,-0.9446179270744324,-0.7522498965263367,-0.6927910447120667,-0.4000301957130432,-0.46353188157081604
88,1.3624999523162842,-0.13409166038036346,-0.93486088514328,-0.7438306212425232,-0.6860069632530212,-0.4011266827583313,-0.46488016843795776
89,1.3624999523162842,-0.13460195064544678,-0.9251033663749695,-0.7354113459587097,-0.6792223453521729,-0.4022180438041687,-0.4662257134914398
90,1.3624999523162842,-0.13432595133781433,-0.915346086025238,-0.7269920706748962,-0.6724374890327454,-0.4033149480819702,-0.467577189207077
91,1.3624999523162842,-0.1348346769809723,-0.9055894017219543,-0.7185727953910828,-0.6656541228294373,-0.40440821647644043,-0.4689270555973053
92,1.3624999523162842,-0.13455982506275177,-0.8958319425582886,-0.7101535797119141,-0.6588692665100098,-0.4055033028125763,-0.47027599811553955
93,1.3624999523162842,-0.13428457081317902,-0.886073648929596,-0.7017343044281006,-0.6520845890045166,-0.4065943658351898,-0.47162535786628723
94,1.3624999523162842,-0.1347951889038086,-0.8763161301612854,-0.6933150291442871,-0.6452999114990234,-0.4076903760433197,-0.4729764461517334
95,1.3624999523162842,-0.13451488316059113,-0.8665587902069092,-0.6848957538604736,-0.6385171413421631,-0.4087827205657959,-0.4743281900882721
96,1.3624999523162842,-0.13424032926559448,-0.8568016886711121,-0.6764765381813049,-0.6317315697669983,-0.4098789691925049,-0.47568047046661377
97,1.3624999523162842,-0.13475407660007477,-0.8470448851585388,-0.6680572628974915,-0.6249457001686096,-0.41097134351730347,-0.47703391313552856
98,1.3624999523162842,-0.13447916507720947,-0.8372870683670044,-0.659637987613678,-0.6181607842445374,-0.41206660866737366,-0.4783880412578583
99,1.3624999523162842,-0.13420163094997406,-0.8275290131568909,-0.6512187123298645,-0.6113758683204651,-0.41315916180610657,-0.4797402024269104
100,1.3624999523162842,-0.13471409678459167,-0.8177714943885803,-0.642799437046051,-0.6045907139778137,-0.41425201296806335,-0.48109304904937744
